file_name,color_1,color_2color_3color_4color_5,color_6
55.png,170;157;141,157;120;94,22;7;7,112;94;82,199;111;63,199;150;106
56.png,47;35;7,139;109;92,202;163;128,60;94;130,233;202;170,83;80;83
57.png,182;81;56,124;80;69,147;116;104,36;16;10,230;94;16,195;168;153
59.png,70;63;46,134;133;133,224;212;188,45;42;30,110;118;127,170;160;146
6.png,8;13;35,131;148;174,54;86;148,17;36;90,231;209;168,210;148;71
60.png,66;68;85,135;133;141,95;97;112,43;48;66,222;192;172,171;171;176
61.png,90;94;115,230;202;181,68;74;98,182;182;184,148;147;154,111;113;129
62.png,117;112;118,71;71;83,202;187;171,155;149;152,91;90;100,25;27;39
63.png,100;105;115,56;64;77,134;142;150,74;82;95,18;24;35,190;188;177
65.png,95;102;108,174;178;175,16;12;9,238;173;108,143;148;152,120;125;130
66.png,83;112;145,8;7;7,141;171;185,189;172;152,69;82;99,88;142;195
68.png,68;53;71,254;200;67,201;81;37,245;144;22,139;63;57,109;85;110
7.png,185;126;57,85;57;38,205;176;112,196;153;79,128;76;38,163;99;43
70.png,51;49;54,242;168;77,94;92;97,24;25;31,236;104;42,173;130;104
71.png,197;131;61,97;73;48,148;109;71,232;181;94,246;242;215,162;92;24
73.png,16;15;12,172;144;118,234;209;177,138;113;94,205;178;147,66;49;36
78.png,79;82;88,9;5;5,187;168;150,125;119;114,48;50;57,244;233;218
79.png,41;46;43,3;2;2,81;76;57,228;214;171,16;21;25,145;129;89
8.png,225;113;83,60;59;62,167;87;73,9;7;7,91;82;81,247;194;130
80.png,130;149;169,17;25;23,167;177;183,211;209;197,42;46;46,99;93;74
81.png,214;197;168,9;5;3,73;53;36,124;96;59,165;137;94,193;174;146
83.png,158;164;160,12;117;126,136;99;116,210;118;105,75;78;97,245;189;145
84.png,217;156;135,13;9;3,131;109;132,129;111;171,164;137;153,84;85;160
88.png,58;135;207,238;196;175,21;27;20,158;135;161,149;207;245,81;73;84
89.png,75;151;224,22;17;10,165;140;166,80;55;47,133;103;105,222;195;193
9.png,34;31;29,104;127;156,158;169;175,196;132;80,115;102;111,220;205;165
90.png,24;17;12,107;153;178,193;134;88,121;115;127,98;83;88,175;195;198
91.png,225;209;205,90;64;55,79;144;216,22;17;10,176;153;168,139;116;127
92.png,224;154;104,29;26;38,197;199;199,81;76;87,137;119;121,159;163;179
94.png,104;97;103,27;29;37,137;144;153,226;134;53,189;182;167,59;62;76
95.png,151;146;143,123;85;53,15;8;6,226;148;73,193;158;122,181;101;47
96.png,36;33;28,112;123;125,203;188;152,167;138;103,85;81;72,145;157;155
97.png,35;29;28,215;194;170,152;109;92,247;244;229,90;63;56,225;144;84
98.png,32;17;11,196;137;90,233;142;36,146;84;42,77;68;61,81;40;22
